

Table 1:            KEa, Reference
                    
MESSAGE Int_V2      Objective
Apr 16, 2024 14:50

           Obj

2019  5733080.00
2020      0.00
2021      0.00
2022      0.00
2023      0.00
2024      0.00
2025      0.00
2026      0.00
2027      0.00
2028      0.00
2029      0.00
2030      0.00
2031      0.00
2032      0.00
2033      0.00
2034      0.00
2035      0.00
2036      0.00
2037      0.00
2038      0.00
2039      0.00
2040      0.00
2041      0.00


Table 2:            KEa, Reference
                    
MESSAGE Int_V2      KEaOutput
Apr 16, 2024 14:50

      KEEL00T00_01 KEEL00i00_01 KEEL00TDI_01 KEEL00TDR_01 KEEL00TDU_01 KEEL00TDC_01 KEEL00TUI_01 KEEL00TUR_01 KEEL00TUS_01 KEEL00TUU_01 KEEL00TUC_01 KEDS00I00_01 KEDSRC00_01 KEDSRC01_Tsavo_Extended_01 KEDSSC00_01 KEDSRI00_01 KEDSRU00_01 KEDSRB00_01 KEDSRR00_01 KEHF00I00_01 KEHFRC00_01 KEHFRC03_01 KEHFRC10_01 KEHFRC02_01 KEHFRC01_01 KECO00X00_01 KECOSC00_01 KECOSC11_01 KENG00I00_01 KENGSC00_01 KENGSC12_Dongo_Kundu_01 KENGCC00_01 KENGCC12_LNG_Backup2_01 KENGCC12_LNG_Backup26_01 KENGCC12_LNG_Backup35_01 KENGCC12_LNG_Backup4_01 KENGCC12_LNG2_01 KENUPW00_01 KENUPW20_01 KEWDLC00_01 KEWDLCZ001_Bahari2_01 KEWDLCZH08_Kipeto_01 KEWDLCZ001_Bahari_01 KEWDLCZ004_Marsabit_01 KEWDLCZ008_Aperture_01 KEWDLCZ008_Chania_01 KEWDLCZ008_Ngong1_01 KEWDOC00_01 KEWDLCZ010_01 KEWDLCZ009_01 KEWDLCZ008_01 KEWDLCZ007_01 KEWDLCZ006_01 KEWDLCZ005_01 KEWDLCZ004_01 KEWDLCZ003_01 KEWDLCZ002_01 KEWDLCZ001_01 KEWDLCZDP09_01 KEWDLCZH08_01 KESOTN00_01 KESOTNZ002_01 KESOTNZ001_01 KESOTS00_01 KESOTSZ002_01 KESOTSZ001_01 KESOTG00_01 KESOPC00_01 KESOPCZ008_Kopere_01 KESOPCZ001_SevenForks_01 KESOPCZ003_Eldosol_01 KESOPCZ003_Selenkei_01 KESOPCZ003_Alten_01 KESOPCZ009_Kenergy_01 KESOPCZ009_MarcoBorero_01 KESOPCZ001_Greenmillenia_01 KESOPCZ001_Makindu_01 KESOPCZ001_HannanArya_01 KESOPCZ001_Malindi_01 KESOPCZ010_01 KESOPCZ009_01 KESOPCZ008_01 KESOPCZ007_01 KESOPCZ006_01 KESOPCZ005_01 KESOPCZ004_01 KESOPCZ003_01 KESOPCZ002_01 KESOPCZ001_01 KEGOCV00_01 KEGOCV17_Baringo_Silali_I_01 KEGOCV18_Menengai_IV_V_01 KEGOCV18_Menengai_III_01 KEGOCV18_Menengai_1_Stage2_01 KEGOCV16_Olkaria_6_7_01 KEGOCV12_Suswa_01 KEGOCV12_Eburru_01 KEGOCV16_Menengai_1_Orpower22_01 KEGOCV12_Olsuswa_01 KEGOCV18_Wellheadleasing_01 KEGOCV13_Marine_Power_Akiira_01 KEGOCV16_Olkaria8_01 KEGOCV16_Olkaria9_01 KEGOCV20_AGIL_Longonot_01 KEGOCV17_Baringo_Silali_01 KEGOCV16_Olkaria_1V_Uprating_01 KEGOCV16_Olkaria_1_Uprating_01 KEGOCV16_Olkaria_1_Unit1_3_01 KEGOCV18_Menengai_1_Quantum_01 KEGOCV16_Olkaria_1_Unit6_01 KEGOCV18_Menengai_1_Sosian_01 KEGOCV20_01 KEGOCV16_01 KEGOCV15_01 KEGOCV14_01 KEGOCV13_01 KEGOCV12_01 KEGOCV11_01 KEGOCV10_01 KEGOCV03_01 KEGOCV02_01 KEGOCV01_01 KEBM00X00_01 KEBW00X00_01 KEHY00X00_01 KESO00X00_01 KEWD00X00_01 KEBMST00_01 KEBMST10_BiogasH_01 KEBMST10_WestKenya_01 KEBMST10_VRHoldings_01 KEBMST10_Cummins_Cogen_01 KEBMST10_Viability_01 KEBMST10_Tana_Biogas_01 KEBMST10_MunicipalWtE_Biogas_01 KEBMST10_Roadtech_01 KEBMST10_ThikaWayBiogas_01 KEBMST10_Kwale_01 KEBMST10_REA_Vipingo_01 KEBWST00_01 KEBMST10_01 KEBMST01_01 KEHYDM00_01 KEHYRO_Lower_Grand_01 KEHYDM_Kamburu_Masinga_01 KEHYDM_Turkwell_01 KEHYDM_Kiambere_01 KEHYRO00_01 KEHYRO_High_Grand2_01 KEHYRO_High_Grand_01 KEHYRO_Small_Chevron_01 KEHYRO_Small_KDTA2_01 KEHYRO_Small_Rareh_01 KEHYRO_Small_Kirogori_01 KEHYRO_Small_GemGen_01 KEHYRO_Small_Kaptis_01 KEHYRO_Small_Nithi_01 KEHYRO_Small_Tindinyo_01 KEHYRO_Small_Gatiki_01 KEHYRO_Small_KTDA_Gogo_01 KEHYRO_Small_MtKenya_CBO_01 KEHYRO_Small_KTDA_01 KEHYRO_Small_KTDA_Kleen_01 KEHYRO_Karura_01 KEHYRO_Kindaruma_Opt_01 KEHYRO_Tana_01 KEHYRO_Sangoro_01 KEHYRO_Kindaruma_01 KEHYRO_Sondu_Miriu_01 KEHYRO_Gitaru_01 KEHYMI00_01 KEHYRO_Existing_Small_01 KESOPU00_01 KESOPB00_01 KESOPR00_01 KESOPS00_01 KEELBS00_01 KERIDM_Kamburu_Masinga_01 KERIDM_Turkwell_01 KERIDM_Kiambere_01 KEELST04_01 KEELST04_02 KEELPT04_01 KEELDT04_01_01 KEELDT04_01_02 KEELDT04_02_01 KEELDT04_02_02 KEELDT04_03_01 KEELDT04_03_02 KEEXDT00_01

2019   1326.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1326.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   163.91     0.00    11.12    32.48     2.62    21.92     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78    37.24   212.45     0.00     0.00   417.16     0.00   159.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    41.30    16.83   103.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    32.10    31.68    91.85     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2020   1325.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1325.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   163.29     0.00    11.12    32.48     2.62    21.67     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78    37.24   212.45     0.00     0.00   416.27     0.00   159.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    38.80    18.34   103.22     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   115.76     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2021   1426.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1426.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   170.60     0.00    11.12    32.48     2.62    24.61     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.32     8.32     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78    37.24   212.45     0.00     0.00   449.54    16.64   207.68     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    41.10    30.84   121.69     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2022   1504.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1504.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   176.40     0.00    11.12    32.48     2.62    26.94     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.32     8.32     0.00     0.00     0.00     0.00     0.00     0.00     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    70.51     0.00     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78    37.24   212.45     0.00     0.00   447.03    25.03   207.68     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    41.61    43.37   106.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2023   1584.87     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1584.87     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   241.38     6.98    11.12    32.48     9.73    37.72     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.32     8.32     0.00     0.00     0.31     0.00     0.00     0.00     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    70.51     0.00     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78     0.00   212.45     3.60     0.00   538.18    25.35   207.68     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.94     0.00     0.00     0.00     0.00     0.00    40.61   105.00   133.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     3.65     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2024   1666.25     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1666.25     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   210.34     5.80     0.00    32.48     9.73    37.72     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   101.91     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.32     8.32     0.00     0.00     0.31     0.00     0.00     0.00     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    70.51    29.62     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78     0.00   212.45    87.60     0.00   478.50    25.35   309.59    21.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.94     0.00     0.00     0.00     0.00     0.00    43.39    58.20   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.25     3.65     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2025   1749.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1749.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   203.92     3.55     0.00    32.48     9.73    37.72     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00     0.00     5.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00   129.24     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.32     8.32     0.00     0.00     0.31     0.00     0.00     0.00     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    53.32    29.62    70.51    29.62     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78     0.00   212.45    87.60     0.00   447.96    25.35   342.18    21.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.94     0.00     0.00     0.00     0.00     0.00    40.64    30.11   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.30     1.25     3.65     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2026   1833.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1833.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   199.16     1.88     0.00    32.48     9.73    37.72     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00    23.93     5.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00   168.67     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.32     8.32     0.00     0.00     0.31     0.00     0.00     0.00     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    16.93    16.93    53.32    29.62    70.51    29.62     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78     0.00   212.45   113.34     0.00   429.86    25.35   405.54    21.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.69     0.94     0.00     0.00     0.00     0.00     0.00    39.27    22.95   101.93     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     4.60     0.30     1.25     3.65     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2027   1918.68     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1918.68     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   213.73     6.98     0.00    32.48     9.73    37.72     0.00     0.00     0.00    32.30     0.00     0.00     0.00     0.00     0.00     0.00     0.00    18.41     0.00     0.00     0.00     0.00    47.85     0.00     0.00     0.00    23.93     5.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00   168.67     0.00     0.00     0.00   152.64     7.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.91     8.32     8.32     0.00     0.65     0.31     0.00     0.00     2.10     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    16.93    16.93    53.32    29.62    70.51    29.62     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78     0.00   212.45   113.34     0.00   480.22    37.01   405.54    21.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.69     0.94     0.00     0.00     0.00     0.00     0.00    41.10    43.70   129.71     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     4.60     0.30     1.25     3.65     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
2028   2005.58     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2005.58     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   213.73     6.98     0.00    32.48     9.73    37.72     0.00     0.00     0.00    32.30     0.00     0.00     0.00     0.00     0.00     0.00     0.00    18.41     0.00     0.00     0.00     0.00    47.85     0.00    60.28     0.00    23.93     5.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00   168.67     0.00     0.00     0.00   152.64     5.75     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.91     8.32     8.32     0.00     0.65     0.31     0.00     0.00     2.10     8.39     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    21.16    29.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00    16.93    16.93    53.32    29.62    70.51    29.62     0.00     0.00    21.50    37.75     0.00     0.00     0.00   370.72     1.78     0.00   212.45   113.34     0.00   458.04    37.01   464.39    21.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.69     0.94     0.00     0.00     0.00     0.00     0.00    43.40    32.26   116.67     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     4.60     0.30     1.25     3.65     0.00     0.00     6.58     7.95    50.19    23.86   154.87     0.00    12.45     0.00     0.00     0.00     0.00     0.00    41.10    32.26   116.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
